product_id,days_since_prior_order,p_days_since_prior_order_reorder_rate
1,3.0,0.5
1,20.0,0.5
4,7.0,1.0
10,4.0,1.0
13,30.0,1.0
23,27.0,1.0
25,0.0,0.5
25,1.0,0.5
29,3.0,0.3333333333333333
29,9.0,0.3333333333333333
29,13.0,0.3333333333333333
34,1.0,0.2
34,2.0,0.2
34,9.0,0.2
34,19.0,0.2
34,30.0,0.2
36,16.0,1.0
45,0.0,0.25
45,9.0,0.5
45,17.0,0.25
49,10.0,1.0
54,8.0,0.25
54,9.0,0.25
54,13.0,0.25
54,15.0,0.25
79,0.0,0.08333333333333333
79,5.0,0.16666666666666666
79,6.0,0.08333333333333333
79,7.0,0.08333333333333333
79,8.0,0.16666666666666666
79,9.0,0.16666666666666666
79,17.0,0.08333333333333333
79,24.0,0.08333333333333333
79,30.0,0.08333333333333333
95,30.0,1.0
100,0.0,0.25
100,5.0,0.25
100,6.0,0.25
100,17.0,0.25
116,0.0,0.25
116,5.0,0.125
116,7.0,0.25
116,8.0,0.125
116,29.0,0.125
116,30.0,0.125
117,0.0,0.3333333333333333
117,15.0,0.3333333333333333
117,30.0,0.3333333333333333
128,30.0,1.0
130,6.0,0.5
130,7.0,0.5
132,0.0,1.0
148,30.0,1.0
158,7.0,1.0
160,28.0,0.5
160,30.0,0.5
162,22.0,1.0
169,9.0,1.0
179,6.0,1.0
193,7.0,0.3333333333333333
193,8.0,0.3333333333333333
193,10.0,0.3333333333333333
196,0.0,0.08695652173913043
196,1.0,0.010869565217391304
196,2.0,0.03260869565217391
196,3.0,0.03260869565217391
196,4.0,0.05434782608695652
196,5.0,0.05434782608695652
196,6.0,0.08695652173913043
196,7.0,0.17391304347826086
196,8.0,0.14130434782608695
196,9.0,0.03260869565217391
196,12.0,0.010869565217391304
196,13.0,0.010869565217391304
196,14.0,0.07608695652173914
196,15.0,0.021739130434782608
196,16.0,0.010869565217391304
196,19.0,0.021739130434782608
196,20.0,0.010869565217391304
196,21.0,0.010869565217391304
196,25.0,0.021739130434782608
196,28.0,0.010869565217391304
196,29.0,0.010869565217391304
196,30.0,0.07608695652173914
204,0.0,1.0
210,4.0,0.3333333333333333
210,11.0,0.3333333333333333
210,22.0,0.3333333333333333
211,0.0,1.0
226,30.0,1.0
239,20.0,1.0
246,0.0,1.0
248,0.0,0.2
248,9.0,0.2
248,30.0,0.6
258,11.0,1.0
260,0.0,0.07692307692307693
260,6.0,0.15384615384615385
260,7.0,0.07692307692307693
260,8.0,0.07692307692307693
260,9.0,0.07692307692307693
260,13.0,0.07692307692307693
260,14.0,0.15384615384615385
260,23.0,0.07692307692307693
260,26.0,0.07692307692307693
260,30.0,0.15384615384615385
270,30.0,1.0
274,3.0,0.5
274,30.0,0.5
277,6.0,1.0
278,0.0,1.0
287,0.0,0.5
287,21.0,0.5
300,30.0,1.0
311,0.0,0.5
311,22.0,0.5
329,25.0,0.5
329,30.0,0.5
343,0.0,0.5
343,9.0,0.5
365,0.0,0.3333333333333333
365,3.0,0.3333333333333333
365,11.0,0.3333333333333333
377,0.0,0.5
377,13.0,0.5
389,0.0,0.5
389,7.0,0.5
392,6.0,1.0
397,13.0,1.0
401,19.0,1.0
403,7.0,0.3333333333333333
403,10.0,0.3333333333333333
