product_id,product_reorder_rate,avg_pos_incart,p_reduced_feat_1,p_reduced_feat_2,p_reduced_feat_3,department_id
1,0.5,3.0,0.0,0.0,0.0,61
4,0.0,7.0,0.0,0.0,0.0,38
10,0.0,3.0,0.0,0.0,0.0,115
13,0.0,21.0,0.0,0.0,0.0,11
23,0.0,12.0,0.0,0.0,0.0,49
25,0.5,1.5,0.0,0.0,0.0,3
29,0.3333333333333333,8.333333333333334,0.0,0.0,0.0,81
34,0.6,6.8,0.0,0.0,0.0,121
36,0.0,9.0,0.0,1.0,0.0,38
45,0.75,4.0,0.0,0.0,0.0,83
49,0.0,6.0,0.0,0.0,0.0,14
54,0.5,8.25,0.0,0.0,0.0,41
79,0.5833333333333334,6.166666666666667,0.0,0.0,0.0,95
95,0.0,6.0,0.0,0.0,0.0,66
100,0.5,10.5,0.0,0.0,0.0,38
116,0.375,6.125,0.0,0.0,0.0,93
117,0.6666666666666666,6.333333333333333,0.0,0.0,0.0,2
128,0.0,1.0,0.0,0.0,0.0,116
130,0.75,3.0,0.0,0.0,0.0,37
132,0.0,12.0,0.0,0.0,0.0,120
148,0.0,9.0,0.0,0.0,0.0,24
158,0.5,9.5,0.0,0.0,0.0,96
160,0.0,32.5,1.0,0.0,0.0,97
162,0.0,15.0,0.0,0.0,0.0,52
169,0.0,11.0,0.0,0.0,0.0,21
179,0.0,8.0,0.0,0.0,0.0,131
193,0.6666666666666666,5.333333333333333,0.0,0.0,0.0,98
196,0.8369565217391305,2.8260869565217392,0.0,0.0,0.0,77
204,0.0,9.0,0.0,0.0,0.0,75
210,0.0,16.333333333333332,0.0,0.0,0.0,9
211,0.0,2.0,0.0,0.0,0.0,130
226,0.0,10.0,0.0,0.0,0.0,21
239,0.0,8.0,1.0,0.0,0.0,107
246,0.0,3.0,0.0,0.0,0.0,75
248,0.0,11.8,0.0,0.0,0.0,117
258,0.0,12.0,0.0,0.0,0.0,38
260,0.5384615384615384,6.846153846153846,0.0,0.0,0.0,24
270,0.6666666666666666,9.333333333333334,0.0,0.0,0.0,85
274,0.0,10.0,0.0,0.0,0.0,87
277,0.0,19.0,0.0,0.0,0.0,77
