order_id,product_id,add_to_cart_order,reordered
1483,32818,1,1
1483,27582,2,1
1483,12302,3,1
1483,1831,4,1
1483,19204,5,1
1483,10180,6,1
1483,1545,7,1
1483,18352,8,1
1483,16464,9,1
1483,5531,10,0
1483,7118,11,0
1483,20985,12,1
2199,24852,1,0
2199,17616,2,1
2199,47877,3,0
2199,33313,4,0
2199,651,5,0
2199,16953,6,1
2199,49615,7,1
2199,42972,8,1
2199,7693,9,0
2199,24600,10,1
2199,18811,11,1
2199,6128,12,1
2199,36393,13,1
2199,35518,14,1
2199,47144,15,1
4307,25557,1,0
4595,31829,1,0
4595,32226,2,0
4595,8143,3,1
4595,20738,4,0
4595,8832,5,0
5640,13874,1,0
5640,28137,2,1
5640,35522,3,1
5640,31869,4,1
5640,3957,5,1
5640,12384,6,1
5640,47209,7,1
5640,39968,8,1
5640,33120,9,1
5640,30795,10,1
5640,42342,11,1
5640,7673,12,1
7099,6799,1,0
7099,8580,2,0
7099,31231,3,0
7099,1185,4,0
7099,44051,5,0
7099,11123,6,0
7099,33787,7,1
7099,33754,8,1
7099,46676,9,1
7099,22124,10,1
7099,14233,11,1
7099,5708,12,0
7099,30908,13,1
8382,3873,1,0
8382,28199,2,0
8382,42372,3,0
8382,23106,4,0
8382,33819,5,0
8382,3108,6,0
8382,42959,7,0
8382,7883,8,0
8382,3919,9,0
12278,49615,1,1
12278,39479,2,0
12278,41236,3,0
12278,28805,4,0
12278,29694,5,0
12278,27307,6,1
12278,47144,7,1
12278,21878,8,0
12278,32033,9,0
12278,36393,10,1
14400,30415,1,0
14400,1654,2,0
14400,11079,3,1
16785,16464,1,1
16785,10673,2,1
16785,40531,3,1
16785,40332,4,1
16785,8769,5,1
16785,26700,6,1
16785,29646,7,1
16785,1674,8,1
16785,46138,9,1
16785,47366,10,1
16785,34300,11,1
16785,16855,12,1
19190,79,1,1
19190,30511,2,0
19190,13187,3,0
19190,23148,4,0
19190,35607,5,0
19190,46650,6,0
19256,27086,1,1
19256,27435,2,1
19256,41480,3,0
19256,31372,4,0
19256,33735,5,1
19682,13176,1,1
19682,39877,2,1
19682,19057,3,1
19682,32771,4,1
19682,48034,5,0
19682,15528,6,0
19682,26307,7,0
20042,13176,1,1
20042,4562,2,1
20042,12872,3,1
20042,38400,4,1
20042,24964,5,1
20042,44683,6,0
20042,28058,7,1
20042,43295,8,0
20042,26721,9,0
20042,44837,10,0
20042,25931,11,1
21889,48857,1,1
21889,117,2,1
21889,48953,3,1
21889,5785,4,1
21889,35108,5,1
21889,18531,6,1
21889,33754,7,1
21889,48745,8,1
21889,45007,9,1
21889,33825,10,1
21889,27243,11,1
21889,32537,12,1
21889,33290,13,1
21889,37973,14,0
21889,9839,15,1
21889,42244,16,1
21889,23216,17,1
21889,19019,18,0
21889,24221,19,0
21889,43768,20,1
21889,30442,21,0
22418,4799,1,0
22418,19894,2,1
22418,13176,3,1
22418,5973,4,1
22418,32864,5,1
22418,432,6,1
22418,11777,7,1
22418,11520,8,1
22418,39928,9,1
22418,1907,10,1
22418,2657,11,1
22418,17622,12,1
22418,24413,13,1
22418,35461,14,1
22418,47610,15,1
22418,34262,16,1
22418,33731,17,1
22418,17872,18,1
22418,45767,19,1
22418,1653,20,1
22418,4600,21,0
22418,8727,22,1
22418,1203,23,1
23391,13198,1,1
23391,42803,2,1
23391,8277,3,1
23391,37602,4,1
23391,40852,5,1
23391,4920,6,1
23391,4945,7,1
23391,17638,8,1
23391,11520,9,0
23391,32177,10,1
23391,27344,11,0
24217,11790,1,1
24217,5258,2,1
24217,24852,3,1
24217,3957,4,1
24217,13870,5,1
24217,5876,6,1
24217,45633,7,1
24217,31225,8,1
24217,2228,9,1
24217,44910,10,1
24217,21137,11,0
24217,27521,12,0
24217,6020,13,0
24217,26209,14,0
24217,3583,15,0
24217,26369,16,0
24217,31717,17,0
24217,27156,18,0
24217,47209,19,0
24217,3376,20,0
24217,27423,21,0
28047,46149,1,1
28047,30486,2,0
28065,10212,1,1
28065,2086,2,1
28065,41140,3,1
28065,35121,4,1
28065,34969,5,1
28065,21903,6,1
28065,46820,7,1
28065,47209,8,1
28065,41842,9,1
28065,23375,10,1
28065,5428,11,1
28065,7175,12,1
28065,46051,13,1
28065,39721,14,1
28065,17807,15,1
28065,34905,16,1
28065,39275,17,1
28065,11303,18,1
28065,45002,19,1
28065,17620,20,1
28065,4274,21,1
28065,37120,22,1
28065,8006,23,1
28065,9224,24,1
28065,19272,25,0
28517,21573,1,1
28517,30450,2,0
28517,37317,3,0
28517,12341,4,1
28517,16974,5,1
29758,13176,1,1
29758,196,2,1
29758,43154,3,1
29902,48787,1,0
29902,1104,2,0
29902,49683,3,0
29902,35108,4,0
29902,21376,5,0
30855,287,1,1
30855,40403,2,1
30855,42731,3,0
30855,41485,4,0
30855,11387,5,0
30855,41463,6,0
30855,24852,7,0
30855,11182,8,1
30855,17008,9,0
31801,6934,1,1
31801,42987,2,1
31801,24852,3,1
31801,14814,4,1
31801,2481,5,1
31801,35921,6,1
31801,41844,7,0
31801,45064,8,0
31801,31459,9,1
31801,25670,10,0
32138,32177,1,1
32138,24964,2,1
32138,10749,3,1
32138,17872,4,1
32138,20114,5,1
32138,22888,6,1
32138,34050,7,1
32138,21137,8,1
32138,27521,9,1
32664,19204,1,1
32664,43227,2,1
32664,36866,3,1
32664,1782,4,1
32664,23909,5,1
32664,32648,6,1
33119,24964,1,1
33119,41834,2,0
33119,3880,3,0
33119,45007,4,1
33119,27521,5,1
33119,22935,6,1
33119,13176,7,1
33119,10749,8,1
33119,32177,9,1
33119,14647,10,0
33119,26131,11,1
