product_id,product_name,department_id
1,Chocolate Sandwich Cookies,61
2,All-Seasons Salt,104
3,Robust Golden Unsweetened Oolong Tea,94
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38
5,Green Chile Anytime Sauce,5
6,Dry Nose Oil,11
7,Pure Coconut Water With Orange,98
8,Cut Russet Potatoes Steam N' Mash,116
9,Light Strawberry Blueberry Yogurt,120
10,Sparkling Orange Juice & Prickly Pear Beverage,115
11,Peach Mango Juice,31
12,Chocolate Fudge Layer Cake,119
13,Saline Nasal Mist,11
14,Fresh Scent Dishwasher Cleaner,74
15,Overnight Diapers Size 6,56
16,Mint Chocolate Flavored Syrup,103
17,Rendered Duck Fat,35
18,Pizza for One Suprema  Frozen Pizza,79
19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63
20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98
21,Small & Medium Dental Dog Treats,40
22,Fresh Breath Oral Rinse Mild Mint,20
23,Organic Turkey Burgers,49
24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,47
25,Salted Caramel Lean Protein & Fiber Bar,3
26,Fancy Feast Trout Feast Flaked Wet Cat Food,41
27,Complete Spring Water Foaming Antibacterial Hand Wash,127
28,Wheat Chex Cereal,121
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81
30,"Three Cheese Ziti, Marinara with Meatballs",38
31,White Pearl Onions,123
32,Nacho Cheese White Bean Chips,107
33,Organic Spaghetti Style Pasta,131
34,Peanut Butter Cereal,121
35,Italian Herb Porcini Mushrooms Chicken Sausage,106
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38
37,Noodle Soup Mix With Chicken Broth,69
38,Ultra Antibacterial Dish Liquid,100
39,Daily Tangerine Citrus Flavored Beverage,64
40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,106
41,Organic Sourdough Einkorn Crackers Rosemary,78
42,Biotin 1000 mcg,47
43,Organic Clementines,123
44,Sparkling Raspberry Seltzer,115
45,European Cucumber,83
46,Raisin Cinnamon Bagels 5 count,58
47,Onion Flavor Organic Roasted Seaweed Snack,66
48,"School Glue, Washable, No Run",87
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14
50,Pumpkin Muffin Mix,105
51,Sa Extra Hold Mousse Hair Styling,22
52,Mirabelle Brut Rose,134
53,Whole Leaf Pure Aloe With Lemon Juice,98
54,24/7 Performance Cat Litter,41
55,Lasting Color Shampoo,22
56,Healthy Pop Butter Popcorn,23
57,Flat Toothpicks,111
58,Whole Wheat Tortillas,128
59,Medium Taqueria Style Chipotle Salsa,50
60,Cheesy Creations Roasted Garlic Parmesan Sauce,9
61,Ramen Noodles Soup Chicken Mushroom Flavor,69
62,Premium Deli Oven Roasted Turkey Breast,96
63,Banana & Sweet Potato Organic Teething Wafers,92
64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,92
65,Organic Red Wine & Olive Oil Dressing Organic,89
66,European Style Spring Mix,123
