iter	Passed	Remaining
0	6	626
1	13	662
2	18	597
3	27	657
4	33	639
5	44	699
6	51	689
7	60	697
8	68	690
9	79	713
10	86	699
11	94	693
12	102	685
13	110	676
14	120	683
15	135	708
16	142	697
17	151	689
18	158	676
19	169	676
20	177	667
21	185	656
22	192	644
23	205	650
24	215	647
25	223	634
26	232	627
27	246	634
28	256	626
29	264	616
30	271	605
31	279	594
32	291	590
33	298	579
34	307	571
35	317	565
36	325	554
37	339	553
38	351	549
39	359	539
40	368	530
41	381	526
42	389	516
43	398	506
44	405	495
45	416	488
46	423	477
47	441	477
48	450	469
49	458	458
50	468	450
51	474	438
52	482	427
53	493	420
54	504	412
55	513	403
56	521	393
57	537	389
58	546	379
59	555	370
60	567	362
61	576	353
62	585	344
63	592	333
64	597	321
65	606	312
66	613	302
67	622	292
68	628	282
69	639	273
70	645	263
71	655	255
72	663	245
73	672	236
74	690	230
75	705	222
76	712	212
77	722	203
78	731	194
79	746	186
80	751	176
81	764	167
82	776	159
83	784	149
84	791	139
85	802	130
86	815	121
87	822	112
88	833	103
89	851	94
90	859	85
91	866	75
92	877	66
93	886	56
94	905	47
95	913	38
96	922	28
97	931	19
98	958	9
99	964	0
